考試標題,科目,題型,題號,題目,選項A,選項B,選項C,選項D,答案
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,10,證券投資顧問事業經營全權委託投資業務，其實收資本額未達新臺幣三億元者，接受委託投資 之總金額，其限制之規定為何？,不得超過淨值十倍,不得超過淨值二十倍,不得超過資本額十倍,不得超過資本額二十倍,C
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,11,甲上市公司以經營百貨賣場為主業，若其章程對於轉投資總額並未設有特別規定，下列對於甲 公司轉投資之敘述，何者正確？,得為他公司之無限責任股東,得為他公司之有限責任股東，但其所有投資總額超過公司實收股本百分之四十時，應由三分之,得為他公司之有限責任股東，但其所有投資總額不超過公司實收股本百分之六十,為他公司有限責任股東時，其所有投資總額，除經代表已發行股份總數三分之二以上股東出,B
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,12,甲上市公司（下稱甲公司）公開發行新股，順利完成增資後，股價立即暴跌，受損害之投資人 欲援引證券交易法（下稱本法）公開說明書不實之規定請求賠償，下列何者非屬本法第 32 條 明定可求償之對象？,甲公司,甲公司負責人,未在公開說明書上簽章之公司職員,未在公開說明書上簽章之甲公司該發行案證券承銷商,C
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,13,甲公司為一家從事貨櫃運輸的上市公司。最近甲公司剛向主管機關申報第一季財務報告，由於 該公司營運不佳，導致該公司之董事長與總經理皆發生變動。依證券交易法之規定，下列敘述 何者正確？,甲公司第一季財務報告應於每會計年度終了後三個月內，公告並向主管機關申報,甲公司所公告申報之第一季財務報告應經會計師查核簽證、董事會通過及監察人承認,甲公司董事長與總經理發生變動，應於事實發生之日起二日內公告並向主管機關申報,甲公司董事長與總經理發生變動，應於事實發生之日起三日內公告並向主管機關申報,C
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,14,下列何種證券市場操縱行為，學理上稱為沖洗買賣？,意圖造成集中交易市場某種有價證券交易活絡之表象，自行或以他人名義，連續委託買賣或申,意圖抬高或壓低集中交易市場某種有價證券之交易價格，自行或以他人名義，對該有價證券，,意圖抬高或壓低集中交易市場某種有價證券之交易價格，與他人通謀，以約定價格於自己出,股市名嘴推薦投資人購買其已事先大量買進之股票，以達倒貨出脫目的,D
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,15,甲為Ｘ上市公司董事長，其於某年 1月10日以每股 10元買進Ｘ公司股票一萬股，又於同年 3 月15日以每股18元賣出Ｘ公司股票一萬股。甲之行為應負證券交易法上何種責任？,沖洗買賣,短線交易,內線交易,甲並無任何法律責任,A
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,16,上市公司之董事、監察人、經理人或持有公司股份超過股份總額百分之十之股東，其股票之轉 讓方式，下列敘述何者錯誤？,自申報主管機關生效日後，向非特定人為之,自向主管機關申報之日起三日後，於證券集中交易市場賣出,於向主管機關申報之日起三日內，向符合主管機關所定條件之特定人為之,"每一交易日轉讓股數未超過 100,000股者，免予申報",C
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,17,Ｘ為公開發行公司（下稱Ｘ公司），Ｘ公司經股東會選舉甲、乙、丙、丁、戊、己、庚七位為 董事；子、丑二位為監察人。有關董事、監察人之選任，下列何者符合證券交易法有關董事、 監察人之規定？,甲、乙為兄弟關係；丙、丁為表姐妹關係；其餘董事、監察人無親屬關係,甲、乙為夫妻關係；戊為己之祖母；其餘董事、監察人無親屬關係,Ｘ公司之法人股東Ｙ投資公司指派甲、乙、丙、丁當選為董事；同時Ｙ投資公司又指派子當選,戊為子、丑之母親；其餘董事、監察人無親屬關係,C
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,18,依證券交易法之規定，下列敘述何者錯誤？,任何人單獨或與他人共同取得任一公開發行公司已發行股份總額超過百分之十之股份者，應於,募集有價證券，應先向認股人或應募人交付公開說明書,證券交易所得依法令或上市契約之規定終止有價證券上市，並應報請主管機關備查,公開發行公司審計委員會應由全體獨立董事組成，其人數不得少於 3 人，其中1 人為召集人，,D
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,19,有關我國證券交易法私募之規定，下列敘述何者正確？,公開發行股票公司私募普通公司債，事涉投資人保護與募資彈性間的重要考量，故依證券交易,甲上櫃公司辦理附認股權特別股的私募，應募人包括乙產物保險公司與該公司獨立董事。惟基,丁上市公司私募普通股，須於股款繳納完成日 15 日內檢附相關書件，報請證券主管機關備查,戊興櫃公司董事長於戊公司辦理可轉換特別股的私募時，親自在推特網站上公開相關推文，具,A
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,20,下列對於股份有限公司發起人之敘述，何者錯誤？,發起人之股份非於公司設立登記一年後，不得轉讓,發起人對於公司在設立登記前所負債務，在登記後亦負連帶責任,應有二人以上為發起人，但政府或法人股東一人所組織之股份有限公司，不受上述人數之限制,未認足之第一次發行股份，及已認而未繳股款者，應由發起人連帶認繳,B
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,21,公司因實施員工庫藏股制度而轉讓予員工之股份，得限制員工不得轉讓之期間，最長為幾年？,1年,2年,3年,無最長期限之規定,D
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,22,承上題，該公司因實施員工庫藏股而轉讓予員工股份者，依公司法應於幾年內轉讓之？,1年,2年,3年,無最長期限之規定,A
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,23,關於股東提案權之規定，下列敘述何者正確？,董事會違法拒絕將股東之合法提案列入股東會議程者，將受到有期徒刑 1年以下之處罰,股東須繼續持有公司股份達 1年以上，且比例達百分之一以上始有提案權,持有無表決權股份之股東若總數達已發行股份總數百分之一以上者，亦有股東提案權,股東提案權於股東常會及股東臨時會均得行使,B
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,24,Ｘ股份有限公司（下稱Ｘ公司）之法人股東Ｙ指派甲為其代表人當選Ｘ公司董事，甲再被推選 為董事長。但因Ｙ事後不滿甲之表現，遂改派乙為其法人代表。下列敘述何者正確？,Ｘ公司須重新選出新任董事長,甲董事長身分未因被撤換而改變,乙當然繼任為Ｘ公司董事長,何人擔任Ｘ公司董事長應由Ｙ決定,B
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,25,甲為Ｘ股份有限公司（下稱Ｘ公司）之監察人，關於甲之敘述何者正確？,甲不得同時為Ｘ公司超過已發行股份總數百分之十之股東,甲不得同時為Ｘ公司之經理人,甲不得列席董事會,甲雖有監察權，但不得代表公司委任會計師協助及執行職務,B
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,26,甲股份有限公司係從事生產手機相關組件之公司，章定資本額為新臺幣（下同）10 億元，實 收資本總額為5億元。甲公司連年獲利大躍進，已提撥 4億8千萬元之法定盈餘公積。去年度 之稅後盈餘為3億元。甲公司依法律及現況，至少應提撥多少法定盈餘公積？,1億元,5千萬元,3千萬元,2千萬元,D
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,27,下述股份有限公司之間存有如下關係：甲公司持有乙公司有表決權股份百分之四十，第三人辛 為甲公司持有乙公司有表決權股份百分之十二，而乙公司持有甲公司有表決權股份百分之三 十；乙公司設置董事 5 人，丙公司設置董事 9 人，乙、丙兩公司之董事有 4 人相同。下列敘 述何者正確？,甲公司為乙公司之控制公司,甲公司為丙公司之控制公司,甲公司與乙公司為相互投資公司,乙公司與丙公司推定為有控制與從屬關係,C
112 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,28,甲公司為乙公司之控制公司，乙公司為甲公司之從屬公司。乙公司以名下土地設定抵押權予甲 公司，向甲公司借入新臺幣（下同）2億元。嗣後，甲公司利用其對乙公司之控制力，使乙公 司從事不利益之經營行為，致乙公司受有1億元之損害，下列敘述何者錯誤？,甲公司對乙公司1億元之損害，應於會計年度終了時為適當補償，否則應負損害賠償責任,甲公司不得以對乙公司之 2億元債權，主張抵銷 1億元之損害賠償,乙公司如依公司法重整時，甲公司對乙公司 2億元之債權，縱有抵押權擔保，仍應次於乙公司,甲公司若未賠償乙公司 1億元，乙公司之股東不問持股多寡，均得訴請甲公司對乙公司為給付,C
